	Emoji	Hexadecimal	Unicode	Texto	
 👯‍♂	&#x200d00000000;	U+1F46F0000200D00002642	\xf0\x9f\x91\xaf\xe2\x80\x8d\xe2\x99\x82	
 🏃‍♀	&#x200d00000000;	U+1F3C30000200D00002640	\xf0\x9f\x8f\x83\xe2\x80\x8d\xe2\x99\x80	
 ⁉	&#x2049;	U+2049	\xe2\x81\x89	
 🀄	&#x1f004;	U+1F004	\xf0\x9f\x80\x84	
 3⃣	&#x33000020e3;	U+33000020E3	\x33\xe2\x83\xa3	
 🖱	&#x1f5b1;	U+1F5B1	\xf0\x9f\x96\xb1	
 🖲	&#x1f5b2;	U+1F5B2	\xf0\x9f\x96\xb2	
 🖼	&#x1f5bc;	U+1F5BC	\xf0\x9f\x96\xbc	
 🖥	&#x1f5a5;	U+1F5A5	\xf0\x9f\x96\xa5	
 🖤	&#x1f5a4;	U+1F5A4	\xf0\x9f\x96\xa4	
 🖨	&#x1f5a8;	U+1F5A8	\xf0\x9f\x96\xa8	
 Ⓜ	&#x24c2;	U+24C2	\xe2\x93\x82	
 🖕	&#x1f595;	U+1F595	\xf0\x9f\x96\x95	
 🖖	&#x1f596;	U+1F596	\xf0\x9f\x96\x96	
 🖐	&#x1f590;	U+1F590	\xf0\x9f\x96\x90	
 🖇	&#x1f587;	U+1F587	\xf0\x9f\x96\x87	
 🖍	&#x1f58d;	U+1F58D	\xf0\x9f\x96\x8d	
 🖌	&#x1f58c;	U+1F58C	\xf0\x9f\x96\x8c	
 🖋	&#x1f58b;	U+1F58B	\xf0\x9f\x96\x8b	
 🖊	&#x1f58a;	U+1F58A	\xf0\x9f\x96\x8a	
 ➖	&#x2796;	U+2796	\xe2\x9e\x96	
 🏴󠁧󠁢󠁥󠁮󠁧󠁿	&#x0;	U+1F3F4000E0067000E0062000E0065000E006E000E0067000E007F	\xf0\x9f\x8f\xb4\xf3\xa0\x81\xa7\xf3\xa0\x81\xa2\xf3\xa0\x81\xa5\xf3\xa0\x81\xae\xf3\xa0\x81\xa7\xf3\xa0\x81\xbf	
 ⭐	&#x2b50;	U+2B50	\xe2\xad\x90	
 ⭕	&#x2b55;	U+2B55	\xe2\xad\x95	
 👰	&#x1f470;	U+1F470	\xf0\x9f\x91\xb0	
 👱	&#x1f471;	U+1F471	\xf0\x9f\x91\xb1	
 👲	&#x1f472;	U+1F472	\xf0\x9f\x91\xb2	
 👳	&#x1f473;	U+1F473	\xf0\x9f\x91\xb3	
 👴	&#x1f474;	U+1F474	\xf0\x9f\x91\xb4	
 👵	&#x1f475;	U+1F475	\xf0\x9f\x91\xb5	
 👶	&#x1f476;	U+1F476	\xf0\x9f\x91\xb6	
 👷	&#x1f477;	U+1F477	\xf0\x9f\x91\xb7	
 👸	&#x1f478;	U+1F478	\xf0\x9f\x91\xb8	
 👹	&#x1f479;	U+1F479	\xf0\x9f\x91\xb9	
 👺	&#x1f47a;	U+1F47A	\xf0\x9f\x91\xba	
 👻	&#x1f47b;	U+1F47B	\xf0\x9f\x91\xbb	
 👼	&#x1f47c;	U+1F47C	\xf0\x9f\x91\xbc	
 👽	&#x1f47d;	U+1F47D	\xf0\x9f\x91\xbd	
 👾	&#x1f47e;	U+1F47E	\xf0\x9f\x91\xbe	
 👿	&#x1f47f;	U+1F47F	\xf0\x9f\x91\xbf	
 👠	&#x1f460;	U+1F460	\xf0\x9f\x91\xa0	
 👡	&#x1f461;	U+1F461	\xf0\x9f\x91\xa1	
 👢	&#x1f462;	U+1F462	\xf0\x9f\x91\xa2	
 👣	&#x1f463;	U+1F463	\xf0\x9f\x91\xa3	
 👤	&#x1f464;	U+1F464	\xf0\x9f\x91\xa4	
 👥	&#x1f465;	U+1F465	\xf0\x9f\x91\xa5	
 👦	&#x1f466;	U+1F466	\xf0\x9f\x91\xa6	
 👧	&#x1f467;	U+1F467	\xf0\x9f\x91\xa7	
 👨	&#x1f468;	U+1F468	\xf0\x9f\x91\xa8	
 👩	&#x1f469;	U+1F469	\xf0\x9f\x91\xa9	
 👩‍💼	&#x200d00000000;	U+1F4690000200D0001F4BC	\xf0\x9f\x91\xa9\xe2\x80\x8d\xf0\x9f\x92\xbc	
 👫	&#x1f46b;	U+1F46B	\xf0\x9f\x91\xab	
 👬	&#x1f46c;	U+1F46C	\xf0\x9f\x91\xac	
 👭	&#x1f46d;	U+1F46D	\xf0\x9f\x91\xad	
 👮	&#x1f46e;	U+1F46E	\xf0\x9f\x91\xae	
 👯	&#x1f46f;	U+1F46F	\xf0\x9f\x91\xaf	
 👐	&#x1f450;	U+1F450	\xf0\x9f\x91\x90	
 🇰🇵	&#x1f1f00001f1f5;	U+1F1F00001F1F5	\xf0\x9f\x87\xb0\xf0\x9f\x87\xb5	
 👒	&#x1f452;	U+1F452	\xf0\x9f\x91\x92	
 🇰🇷	&#x1f1f00001f1f7;	U+1F1F00001F1F7	\xf0\x9f\x87\xb0\xf0\x9f\x87\xb7	
 👔	&#x1f454;	U+1F454	\xf0\x9f\x91\x94	
 👕	&#x1f455;	U+1F455	\xf0\x9f\x91\x95	
 🇰🇲	&#x1f1f00001f1f2;	U+1F1F00001F1F2	\xf0\x9f\x87\xb0\xf0\x9f\x87\xb2	
 👗	&#x1f457;	U+1F457	\xf0\x9f\x91\x97	
 🇰🇼	&#x1f1f00001f1fc;	U+1F1F00001F1FC	\xf0\x9f\x87\xb0\xf0\x9f\x87\xbc	
 👙	&#x1f459;	U+1F459	\xf0\x9f\x91\x99	
 👚	&#x1f45a;	U+1F45A	\xf0\x9f\x91\x9a	
 🇰🇿	&#x1f1f00001f1ff;	U+1F1F00001F1FF	\xf0\x9f\x87\xb0\xf0\x9f\x87\xbf	
 👜	&#x1f45c;	U+1F45C	\xf0\x9f\x91\x9c	
 👝	&#x1f45d;	U+1F45D	\xf0\x9f\x91\x9d	
 👞	&#x1f45e;	U+1F45E	\xf0\x9f\x91\x9e	
 👟	&#x1f45f;	U+1F45F	\xf0\x9f\x91\x9f	
 👀	&#x1f440;	U+1F440	\xf0\x9f\x91\x80	
 👁	&#x1f441;	U+1F441	\xf0\x9f\x91\x81	
 👂	&#x1f442;	U+1F442	\xf0\x9f\x91\x82	
 👃	&#x1f443;	U+1F443	\xf0\x9f\x91\x83	
 👄	&#x1f444;	U+1F444	\xf0\x9f\x91\x84	
 👅	&#x1f445;	U+1F445	\xf0\x9f\x91\x85	
 👆	&#x1f446;	U+1F446	\xf0\x9f\x91\x86	
 👇	&#x1f447;	U+1F447	\xf0\x9f\x91\x87	
 🇰🇬	&#x1f1f00001f1ec;	U+1F1F00001F1EC	\xf0\x9f\x87\xb0\xf0\x9f\x87\xac	
 👉	&#x1f449;	U+1F449	\xf0\x9f\x91\x89	
 🇰🇮	&#x1f1f00001f1ee;	U+1F1F00001F1EE	\xf0\x9f\x87\xb0\xf0\x9f\x87\xae	
 👋	&#x1f44b;	U+1F44B	\xf0\x9f\x91\x8b	
 👌	&#x1f44c;	U+1F44C	\xf0\x9f\x91\x8c	
 👍	&#x1f44d;	U+1F44D	\xf0\x9f\x91\x8d	
 🇰🇪	&#x1f1f00001f1ea;	U+1F1F00001F1EA	\xf0\x9f\x87\xb0\xf0\x9f\x87\xaa	
 👏	&#x1f44f;	U+1F44F	\xf0\x9f\x91\x8f	
 ♾️	&#x267e0000fe0f;	U+267E0000FE0F	\xe2\x99\xbe\xef\xb8\x8f	
 🧙‍♀️	&#x0;	U+1F9D90000200D000026400000FE0F	\xf0\x9f\xa7\x99\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f	
 👨‍🔬	&#x200d00000000;	U+1F4680000200D0001F52C	\xf0\x9f\x91\xa8\xe2\x80\x8d\xf0\x9f\x94\xac	
 👨‍🔧	&#x200d00000000;	U+1F4680000200D0001F527	\xf0\x9f\x91\xa8\xe2\x80\x8d\xf0\x9f\x94\xa7	
 🇸🇻	&#x1f1f80001f1fb;	U+1F1F80001F1FB	\xf0\x9f\x87\xb8\xf0\x9f\x87\xbb	
 🃏	&#x1f0cf;	U+1F0CF	\xf0\x9f\x83\x8f	
 👨‍🚒	&#x200d00000000;	U+1F4680000200D0001F692	\xf0\x9f\x91\xa8\xe2\x80\x8d\xf0\x9f\x9a\x92	
 🧞‍♂️	&#x0;	U+1F9DE0000200D000026420000FE0F	\xf0\x9f\xa7\x9e\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f	
 6⃣	&#x36000020e3;	U+36000020E3	\x36\xe2\x83\xa3	
 👨‍🚀	&#x200d00000000;	U+1F4680000200D0001F680	\xf0\x9f\x91\xa8\xe2\x80\x8d\xf0\x9f\x9a\x80	
 🍤	&#x1f364;	U+1F364	\xf0\x9f\x8d\xa4	
 🍥	&#x1f365;	U+1F365	\xf0\x9f\x8d\xa5	
 🍦	&#x1f366;	U+1F366	\xf0\x9f\x8d\xa6	
 🍧	&#x1f367;	U+1F367	\xf0\x9f\x8d\xa7	
 🍠	&#x1f360;	U+1F360	\xf0\x9f\x8d\xa0	
 🍡	&#x1f361;	U+1F361	\xf0\x9f\x8d\xa1	
 🍢	&#x1f362;	U+1F362	\xf0\x9f\x8d\xa2	
 🍣	&#x1f363;	U+1F363	\xf0\x9f\x8d\xa3	
 🍬	&#x1f36c;	U+1F36C	\xf0\x9f\x8d\xac	
 🍭	&#x1f36d;	U+1F36D	\xf0\x9f\x8d\xad	
 🍮	&#x1f36e;	U+1F36E	\xf0\x9f\x8d\xae	
 🍯	&#x1f36f;	U+1F36F	\xf0\x9f\x8d\xaf	
